ch	N	ticks/s
417	1393	7.73888888888889
418	1343	7.46111111111111
419	1256	6.97777777777778
420	1262	7.01111111111111
421	1162	6.45555555555556
422	1204	6.68888888888889
423	1164	6.46666666666667
424	1059	5.88333333333333
425	1027	5.70555555555556
426	1016	5.64444444444444
427	949	5.27222222222222
428	943	5.23888888888889
429	961	5.33888888888889
430	843	4.68333333333333
431	847	4.70555555555556
432	806	4.47777777777778
433	774	4.3
434	789	4.38333333333333
435	721	4.00555555555556
436	722	4.01111111111111
437	697	3.87222222222222
438	729	4.05
439	731	4.06111111111111
440	669	3.71666666666667
441	707	3.92777777777778
442	690	3.83333333333333
443	640	3.55555555555556
444	649	3.60555555555556
445	653	3.62777777777778
446	627	3.48333333333333
447	626	3.47777777777778
448	634	3.52222222222222
449	650	3.61111111111111
450	667	3.70555555555556
451	676	3.75555555555556
452	629	3.49444444444444
453	642	3.56666666666667
454	625	3.47222222222222
455	651	3.61666666666667
456	629	3.49444444444444
457	696	3.86666666666667
458	656	3.64444444444444
459	661	3.67222222222222
460	633	3.51666666666667
461	664	3.68888888888889
462	623	3.46111111111111
463	606	3.36666666666667
464	607	3.37222222222222
465	655	3.63888888888889
466	641	3.56111111111111
467	643	3.57222222222222
468	588	3.26666666666667
469	652	3.62222222222222
470	613	3.40555555555556
471	656	3.64444444444444
472	621	3.45
473	658	3.65555555555556
474	682	3.78888888888889
475	589	3.27222222222222
476	635	3.52777777777778
477	638	3.54444444444444
478	650	3.61111111111111
479	660	3.66666666666667
480	598	3.32222222222222
481	650	3.61111111111111
482	611	3.39444444444444
483	634	3.52222222222222
484	650	3.61111111111111
485	632	3.51111111111111
486	631	3.50555555555556
487	617	3.42777777777778
488	637	3.53888888888889
489	614	3.41111111111111
490	654	3.63333333333333
491	617	3.42777777777778
492	645	3.58333333333333
493	661	3.67222222222222
494	562	3.12222222222222
495	645	3.58333333333333
496	597	3.31666666666667
497	654	3.63333333333333
498	637	3.53888888888889
499	642	3.56666666666667
500	611	3.39444444444444
501	605	3.36111111111111
502	697	3.87222222222222
503	656	3.64444444444444
504	610	3.38888888888889
505	611	3.39444444444444
506	648	3.6
507	633	3.51666666666667
508	658	3.65555555555556
509	605	3.36111111111111
510	598	3.32222222222222
511	619	3.43888888888889
512	631	3.50555555555556
513	652	3.62222222222222
514	627	3.48333333333333
515	635	3.52777777777778
516	676	3.75555555555556
517	661	3.67222222222222
518	661	3.67222222222222
519	680	3.77777777777778
520	611	3.39444444444444
521	708	3.93333333333333
522	655	3.63888888888889
523	619	3.43888888888889
524	618	3.43333333333333
525	656	3.64444444444444
526	646	3.58888888888889
527	682	3.78888888888889
528	626	3.47777777777778
529	606	3.36666666666667
530	607	3.37222222222222
531	660	3.66666666666667
532	631	3.50555555555556
533	655	3.63888888888889
534	634	3.52222222222222
535	661	3.67222222222222
536	638	3.54444444444444
537	633	3.51666666666667
538	685	3.80555555555556
539	608	3.37777777777778
540	630	3.5
541	624	3.46666666666667
542	666	3.7
543	665	3.69444444444444
544	661	3.67222222222222
545	669	3.71666666666667
546	626	3.47777777777778
547	671	3.72777777777778
548	701	3.89444444444444
549	648	3.6
550	583	3.23888888888889
551	637	3.53888888888889
552	682	3.78888888888889
553	649	3.60555555555556
554	685	3.80555555555556
555	663	3.68333333333333
556	624	3.46666666666667
557	605	3.36111111111111
