angle/°	t/ms	timer1/ms	timer2/ms	Date	DateOA	Counter1	Counter2	Counter3	Counter4	dt/ms	dtimer1/ms	dtimer2/ms	dCounter1	dCounter2	dCounter3	dCounter4	Ticks1	Ticks2	Ticks3	Ticks4	dTicks1	dTicks2	dTicks3	dTicks4
180	599996.4043	0	599988	2025-03-18_21:18:29	45734.8878356482	1115544	1602278	4318	5567	1	20	20	1056.19316415133	1265.81120235207	65.7114906237866	74.6123314204830	1859.27718554371	2670.51674366821	7.19681060287872	9.27851890371141	1.76144782862786	2.11160475509350	0.109521604206197	0.124356757449678
157.5	599995.93445	0	599987	2025-03-18_21:28:45	45734.8949652778	1122207	1604976	4286	5444	1	20	20	1059.34272074716	1266.87647385213	65.4675492133316	73.7834669827869	1870.38552501971	2675.01795872244	7.14348810890903	9.07352992648174	1.76670992713957	2.11338851379638	0.109115206005147	0.122975481378957
135	599996.4837	0	599987	2025-03-18_21:39:02	45734.9021064815	1123166	1605653	3960	5135	1	20	20	1059.79526324663	1267.14363826679	62.9285308902091	71.6589143093865	1871.98389298435	2676.14631650352	6.60014300309840	8.55851876790664	1.76746559162668	2.11383498800308	0.104883388038114	0.11943445232132
112.5	599996.62975	0	599988	2025-03-18_21:49:18	45734.9092361111	1124256	1604059	3834	4949	1	20	20	1060.30938881064	1266.51450840486	61.9193023216509	70.3491293478462	1873.79747594952	2673.48513636939	6.39012780255605	8.24849830329940	1.76832113926133	2.11278008515273	0.103201121047254	0.117251216318227
90	599996.6125	0	599988	2025-03-18_21:59:34	45734.9163657407	1116740	1606732	3815	4918	1	20	20	1056.75919678988	1267.56932749258	61.7656862667290	70.1284535691470	1861.27055874451	2677.94022547118	6.35846050254338	8.19683060327873	1.76239298935045	2.11454285281048	0.102945087536363	0.116883412973374
90	599995.79635	0	599987	2025-03-18_22:09:39	45734.9233680556	1118770	1607256	3791	4924	1	20	20	1057.71924441224	1267.77600545207	61.5710971154486	70.1712191713953	1864.65706756980	2678.81804105756	6.31847023352173	8.20684448163044	1.76399902389575	2.11489177609350	0.102620934781092	0.116954885917061
112.5	599996.685	0	599988	2025-03-18_22:19:55	45734.9304976852	1123201	1604461	3837	4944	1	20	20	1059.81177574133	1266.67320173753	61.9435226637943	70.3135833249878	1872.03910744882	2674.15514976966	6.39512790255805	8.24016480329606	1.76749021498940	2.11304528602977	0.103241489349584	0.117191971273464
135	599996.30365	0	599987	2025-03-18_22:30:12	45734.9376388889	1124242	1604612	4065	5202	1	20	20	1060.30278694343	1266.73280529084	63.7573525171803	72.1248916810278	1873.77726517408	2674.41127891104	6.77514679484722	8.67018785407017	1.76831306624618	2.11314842099962	0.106264796584946	0.120211104791764
157.5	599996.41785	0	599988	2025-03-18_22:40:29	45734.9447800926	1121849	1604882	4161	5408	1	20	20	1059.17373456860	1266.83937419075	64.5058136914806	73.5391052434009	1869.78572904791	2674.85683046994	6.93513870277406	9.01351360360541	1.76642480318811	2.11332298585302	0.107512088263786	0.122567995020006
180	599995.82605	0	599988	2025-03-18_22:50:45	45734.9519097222	1114797	1603535	4198	5477	1	20	20	1055.83947643569	1266.30762455258	64.7919748117003	74.0067564483136	1858.03216064321	2672.61178556904	6.99680660279872	9.12851590365141	1.76085724219450	2.11243435079842	0.10798903632548	0.123347436353881
202.5	599996.04885	0	599988	2025-03-18_23:01:01	45734.9590393519	1102836	1603831	4154	5321	1	20	20	1050.15998781138	1266.42449439357	64.4515321772881	72.9451848993475	1838.09676193524	2673.10512876924	6.92347180276939	8.86851070354740	1.75137375342357	2.11262965802477	0.107421616637133	0.121578099131526
225	599996.72945	0	599987	2025-03-18_23:11:18	45734.9661805556	1087533	1604216	3895	4967	1	20	20	1042.84850289963	1266.57648801800	62.4099351065197	70.4769465853906	1812.59427287591	2673.75126461073	6.49180732249199	8.27851270110853	1.73916837095537	2.11288719037817	0.104019037346461	0.117464446847629
247.5	599995.75835	0	599987	2025-03-18_23:21:34	45734.9733101852	1079296	1603144	3689	4774	1	20	20	1038.89171716787	1266.15322927361	60.7371385562409	69.0941386804988	1798.86564208891	2671.96455923212	6.14846655010859	7.95683906484641	1.73256168251889	2.11217985965198	0.101230965069074	0.115159698362143
270	599996.47405	0	599987	2025-03-18_23:31:51	45734.9804513889	1068617	1604867	3578	4589	1	20	20	1033.73932884456	1266.83345393149	59.8163857149527	67.7421582177598	1781.06692311667	2674.83628811958	5.96346254168840	7.64849905081277	1.72395881861593	2.11331662071724	0.0996963344566955	0.112906331186997
270	599996.1869	0	599987	2025-03-18_23:41:55	45734.9874421296	1071098	1606187	3718	4735	1	20	20	1034.93864552446	1267.35433087988	60.9754048777046	68.8113362753551	1785.20201271028	2677.03633578728	6.19680093068683	7.89183765648256	1.72596128568646	2.11418708920619	0.101628086660409	0.114688347072527
247.5	599996.05625	0	599987	2025-03-18_23:52:12	45734.9945833333	1077985	1604917	3659	4729	1	20	20	1038.26056459831	1266.85318802141	60.4896685393465	68.7677249878168	1796.68059474622	2674.91962325850	6.09846546675178	7.88183743981120	1.73150784852413	2.11334959949538	0.100818503578584	0.114615659445128
225	599996.61575	0	599988	2025-03-19_00:02:28	45735.0017129630	1087305	1603086	3969	5101	1	20	20	1042.73918119537	1266.13032504557	63	71.4212853426764	1812.21124422488	2671.86343726875	6.61513230264605	8.50183670340073	1.73898293222856	2.11213805661981	0.105002331580638	0.119038193681328
202.5	599996.00665	0	599987	2025-03-19_00:12:45	45735.0088541667	1102450	1601166	4208	5355	1	20	20	1049.97619020624	1265.37188209633	64.8690989609074	73.1778655059028	1837.45647822370	2668.66782113613	7.01348529218133	8.92519337918988	1.75106977733394	2.11087411115975	0.108117760246205	0.121966114631089
180	599996.1954	0	599988	2025-03-19_00:23:01	45735.0159837963	1117060	1603917	4402	5630	1	20	20	1056.91059224515	1266.45844779843	66.3475696615935	75.0333259292163	1861.80390274472	2673.24846496930	7.33681340293472	9.38352100375341	1.76264578964574	2.11268639933096	0.110581764842885	0.125058435545055
157.5	599996.155	0	599987	2025-03-19_00:33:18	45735.0231250000	1125904	1604661	4221	5460	1	20	20	1061.08623589226	1266.75214623856	64.9692234831231	73.8918128076447	1876.54732519205	2674.49294734719	7.03515242830261	9.10019717093870	1.76962129010748	2.11318074276142	0.10828463923781	0.123156063307233
135	599995.355	0	599987	2025-03-19_00:43:34	45735.0302546296	1122271	1605252	4069	5222	1	20	20	1059.37292772659	1266.98539849518	63.7887137352682	72.2634070605587	1870.49219399754	2675.47796868932	6.78181360596146	8.70352190964138	1.76676036731849	2.11357054412956	0.106317066768589	0.120441970765221
112.5	599995.99045	0	599987	2025-03-19_00:53:51	45735.0373958333	1122585	1605980	3839	4929	1	20	20	1059.52111824163	1267.27266205817	61.9596642986387	70.2068372738724	1871.01553867000	2676.69132831211	6.39847196689262	8.21517799552324	1.76700781868841	2.11405060744841	0.103268564902939	0.117014251194881
90	599995.828	0	599987	2025-03-19_01:04:08	45735.0445370370	1117561	1603665	3728	4811	1	20	20	1057.14757720954	1266.35895385155	61.0573500898950	69.3613725354393	1862.64202391052	2672.83291137975	6.21346795847243	8.01850706765313	1.76304444977668	2.11252365703480	0.10176466582076	0.115605101328463
90	599996.61865	0	599988	2025-03-19_01:14:12	45735.0515277778	1117809	1603604	3834	4897	1	20	20	1057.26486747645	1266.33486882420	61.9193023216509	69.9785681476836	1863.05226104522	2672.72678786909	6.39012780255605	8.16182990326473	1.76323735933639	2.11247988009902	0.103201121047254	0.116633596897975
112.5	599995.6988	0	599987	2025-03-19_01:24:28	45735.0586574074	1119040	1603308	3754	4860	1	20	20	1057.84686982569	1266.21799071092	61.2698947281616	69.7137002317335	1865.10707732001	2672.23789848780	6.25680223071500	8.10017550380258	1.76421213401606	2.11228808593335	0.102118916768755	0.116192331611563
135	599995.95155	0	599988	2025-03-19_01:34:45	45735.0657986111	1121712	1602528	4154	5252	1	20	20	1059.10905954014	1265.90994940399	64.4515321772881	72.4706837279738	1869.55739114782	2670.93341866837	6.92347180276939	8.75350840350140	1.76631680787955	2.11176977604058	0.107421616637133	0.120787241060611
157.5	599995.73	0	599987	2025-03-19_01:45:01	45735.0729282407	1121801	1602590	4258	5481	1	20	20	1059.15107515406	1265.93443748087	65.2533524043018	74.0337760755184	1869.70884369161	2671.04120589279	7.09682043110934	9.13519792928847	1.76638991387069	2.11181422527143	0.10875820104642	0.123392676037635
180	599996.1259	0	599988	2025-03-19_01:55:18	45735.0800694444	1113942	1602834	4321	5542	1	20	20	1055.43450767918	1266.03080531241	65.7343137181792	74.4446102817390	1856.60713214264	2671.44342886858	7.20181070288072	9.23685140369474	1.76018102776983	2.11197174425418	0.109559643731498	0.124077214039678
202.5	599995.5674	0	599986	2025-03-19_02:05:35	45735.0872106481	1100282	1605733	4039	5241	1	20	20	1048.94327778007	1267.17520493419	63.5531273817426	72.3947511909531	1833.84612307621	2676.28411329598	6.73182374255399	8.73520382142250	1.74934797989121	2.11389127045893	0.105924588231049	0.120661085408438
225	599995.85805	0	599987	2025-03-19_02:15:51	45735.0943402778	1087080	1605381	3916	5032	1	20	20	1042.63128669727	1267.03630571503	62.5779513886481	70.9365914038728	1811.83925651722	2675.69297334776	6.52680808084175	8.38684838171494	1.73880568033752	2.11365561818668	0.104299072373584	0.118230544527417
247.5	599996.21835	0	599986	2025-03-19_02:26:07	45735.1014699074	1077660	1604847	3792	4841	1	20	20	1038.10404102864	1266.82556020946	61.5792172733626	69.5772951471958	1796.14190997790	2674.80741217295	6.32014747010764	8.06852159883731	1.73124939076417	2.11330695758733	0.102634639818537	0.115965176320692
270	599995.6661	0	599987	2025-03-19_02:36:24	45735.1086111111	1070427	1604487	3614	4631	1	20	20	1034.61442093178	1266.68346480089	60.1165534607565	68.0514511233963	1784.08365514586	2674.20294106372	6.02346384171657	7.71850056751230	1.72541993571773	2.11306596530221	0.100196627871181	0.113421834493113
270	599995.95315	0	599988	2025-03-19_02:46:29	45735.1156134259	1068862	1604310	3532	4596	1	20	20	1033.85782388102	1266.61359537943	59.4306318324145	67.7938050267132	1781.47229611259	2673.90347806956	5.88678440235471	7.66015320306406	1.72415378918924	2.11294567465056	0.0990532284863553	0.112992223400466
247.5	599995.6172	0	599987	2025-03-19_02:56:45	45735.1227430556	1076986	1602412	3647	4694	1	20	20	1037.77935997976	1265.86413172978	60.3903965875370	68.5127725318426	1795.01555867044	2670.74453279821	6.07846503340906	7.82350284256159	1.73070438382092	2.11169673373389	0.100653045733272	0.114190726141463
225	599996.00605	0	599987	2025-03-19_03:07:02	45735.1298842593	1087484	1602679	3809	4909	1	20	20	1042.82500928967	1265.96958889225	61.7170964968379	70.0642562224134	1812.51260443976	2671.18954244009	6.34847088353581	8.18184393995203	1.73912914315063	2.11187296860638	0.102864273896923	0.116776609011912
202.5	599995.8329	0	599988	2025-03-19_03:17:18	45735.1370138889	1098439	1604004	4064	5259	1	20	20	1048.06440641785	1266.49279508413	63.7495098020369	72.5189630372636	1830.76828203231	2673.39346786936	6.77346880270939	8.76517530350607	1.74787464391930	2.11274379888020	0.106251547930723	0.120867708890288
180	599996.09665	0	599987	2025-03-19_03:27:35	45735.1441550926	1114323	1602508	4405	5658	1	20	20	1055.61498663102	1265.90204992329	66.3701740241805	75.2196782763660	1857.24524031354	2670.90453626495	7.34182573955769	9.43020432109362	1.76048532816261	2.11176010076268	0.110619624181166	0.125369240878156
157.5	599996.25535	0	599987	2025-03-19_03:37:51	45735.1512847222	1121661	1603683	4217	5415	1	20	20	1059.08498242587	1266.36606082128	64.9384323802169	73.5866835779409	1869.47550530261	2672.86291202976	7.02848561718837	9.02519554590349	1.76627955109084	2.11253553387863	0.108233319260164	0.122647498963268
135	599995.84015	0	599987	2025-03-19_03:48:07	45735.1584143518	1122685	1604592	4061	5194	1	20	20	1059.56830832184	1266.72491094160	63.7259758654193	72.0694109869090	1871.18220894786	2674.37794485547	6.76847998373298	8.65685423184169	1.76708661761834	2.11313522830271	0.106212500678131	0.12011863416359
112.5	599996.61815	0	599988	2025-03-19_03:58:24	45735.1655555556	1120602	1603609	3761	4839	1	20	20	1058.58490448334	1266.33684302400	61.3269924258479	69.5629211577547	1867.70735414708	2672.73512136909	6.26845870250738	8.06516130322606	1.76544156700559	2.11248317928584	0.10221391189521	0.115940832438821
90	599995.9937	0	599987	2025-03-19_04:08:40	45735.1726851852	1115762	1603762	3770	4825	1	20	20	1056.29635992935	1266.39725205008	61.4003257320350	69.4622199472490	1859.64362561189	2672.99458154927	6.28346947517196	8.04184090655298	1.76162308442555	2.11258765924253	0.10233630784841	0.115773185339695
90	599995.9803	0	599987	2025-03-19_04:18:44	45735.1796759259	1117554	1603355	3696	4791	1	20	20	1057.14426640833	1266.23654978049	60.7947366142827	69.2170499226888	1862.63035699107	2672.31623351839	6.16013346955851	7.98517301208193	1.76303892138193	2.11231910098676	0.10132696450327	0.115364556503961
112.5	599996.0672	0	599989	2025-03-19_04:29:01	45735.1868171296	1121475	1599356	3906	5055	1	20	20	1058.99716713502	1264.65647509511	62.4979999679990	71.0985231914138	1869.15926791991	2665.64220344040	6.51011935218812	8.42515446116512	1.76612702109537	2.10967151749838	0.10416546902274	0.118500043945485
135	599996.26175	0	599988	2025-03-19_04:39:17	45735.1939467593	1121247	1603190	4087	5270	1	20	20	1058.88951264993	1266.17139440125	63.9296488336984	72.5947656515261	1868.78237564751	2672.03677406881	6.81180290272472	8.78350900351340	1.76595020545423	2.11220668967879	0.106551787694353	0.120994050216102
157.5	599996.2748	0	599987	2025-03-19_04:49:33	45735.2010763889	1122278	1605288	4402	5606	1	20	20	1059.37623156271	1266.99960536695	66.3475696615935	74.8732261893395	1870.50386091699	2675.53796998935	7.33682563122201	9.34353577660849	1.76676588412612	2.11359428606892	0.110581949150722	0.124791802801702
180	599995.5558	0	599987	2025-03-19_04:59:49	45735.2082060185	1117412	1600136	4223	5488	1	20	20	1057.07710220211	1264.96482164525	64.9846135635198	74.0810367098085	1862.39368519651	2666.95111727421	7.03848583385973	9.14686484873839	1.76292677022131	2.11019385370330	0.108310290108072	0.12347144618817
202.5	599995.64695	0	599987	2025-03-19_05:10:06	45735.2153472222	1102737	1603752	4156	5310	1	20	20	1050.11285107840	1266.39330383574	64.4670458451448	72.8697468089467	1837.93482192114	2672.97791452148	6.92681674769620	8.85019175415467	1.75129796876242	2.11258106116580	0.107447652530253	0.121452567778466
225	599995.622	0	599986	2025-03-19_05:20:22	45735.2224768519	1087153	1603779	3859	4970	1	20	20	1042.66629369132	1266.40396398622	62.1208499619894	70.4982269280583	1811.96394582540	2673.02737063865	6.43181674239066	8.28352661562103	1.73886703392978	2.11260240326992	0.103537387786152	0.117500110986442
247.5	599995.7215	0	599988	2025-03-19_05:30:39	45735.2296180556	1078061	1602262	3639	4680	1	20	20	1038.29716362899	1265.80488227847	60.3241245274227	68.4105255059483	1796.80426941872	2670.49007646820	6.06512130242605	7.80015600312006	1.73156606831984	2.11159419331690	0.100542421660849	0.114020119369384
270	599996.4644	0	599987	2025-03-19_05:40:56	45735.2367592593	1070048	1602304	3767	4745	1	20	20	1034.43124469440	1265.82147240438	61.3758910322286	68.8839603971781	1783.45197479279	2670.56452889813	6.27846936683628	7.90850468426816	1.72511409104683	2.11162544356965	0.10229558221055	0.114809390854437
270	599995.76405	0	599988	2025-03-19_05:51:01	45735.2437615741	1068528	1604271	3569	4622	1	20	20	1033.69628034544	1266.59819990398	59.7411081249754	67.9852925271341	1780.91561831237	2673.83847676954	5.94845230237938	7.70348740308139	1.72388406522901	2.11291994645058	0.0995707023856107	0.113311378069255
247.5	599996.94295	0	599988	2025-03-19_06:01:17	45735.2508912037	1077707	1604424	3705	4745	1	20	20	1038.12667820454	1266.65859646552	60.8687111741328	68.8839603971781	1796.21425761849	2674.09348186964	6.17512350247005	7.90849150316340	1.73128141003252	2.11302087837474	0.101450089780317	0.114809199500616
